,,,Asset Inventory Table ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Hardware Assets,,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
HW-01,Lab PCs Batch-1,Hardware,Student lab workstations,Lab Engineer,Fintech Lab,Internal,Medium,OS image + Network
HW-02,Lab PCs Batch-2,Hardware,Student lab PCs,Lab Engineer,Fintech Lab,Internal,Medium,Network + Software tools
HW-03,Faculty Office PC 1,Hardware,Faculty workstation,Faculty Member,A&F Office,Confidential,High,ERP + Email
HW-04,Faculty Office PC 2,Hardware,Staff workstation,Finance Officer,A&F Office,Confidential,High,ERP + Cloud
HW-05,Finance Laptop 1,Hardware,Used for payroll & finance data,Payroll Officer,A&F Office,Confidential,High,Payroll System
HW-06,Finance Laptop 2,Hardware,Used for budget & vendor payments,Senior Accountant,A&F Office,Confidential,High,ERP
HW-07,NAS Storage Drive,Hardware,Local shared drive for department,IT Dept,Server Corner,Confidential,High,Network + Backups
HW-08,UPS Battery Backup,Hardware,Power backup for finance & lab,Admin,A&F Block,Internal,Medium,Power System
HW-09,Network Switch 24-Port,Hardware,Department switch for LAN,IT Dept,A&F Block,Internal,High,VLAN + Firewall
HW-10,Printers/Scanners,Hardware,Document printing & scanning,A&F Staff,A&F Block,Internal,Medium,PCs
HW-11,CCTV Cameras,Hardware,Security monitoring devices,Admin,A&F Block,Internal,Medium,NVR System
,,,,,,,,
,,,,,,,,
,,,Software Assets,,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
SW-01,Windows OS,Software,OS for lab & office PCs,IT Dept,All Systems,Internal,Medium,Updates Server
SW-02,Linux OS (Lab Systems),Software,Installed in Fintech lab,Lab Engineer,Fintech Lab,Internal,Medium,Lab Tools
SW-03,MS Office Suite,Software,Word/Excel for finance tasks,Finance Staff,All PCs,Internal,Medium,License Server
SW-04,ERP Finance Module,Software,Core financial system,Head of A&F,Cloud + Local PC,Confidential,High,Cloud DB
SW-05,Payroll Management Software,Software,Salary & benefits processing,Payroll Officer,A&F Office,Confidential,High,HR Data
SW-06,Vendor & Procurement System,Software,Vendor payments & contracts,Procurement Officer,Cloud,Confidential,High,Bank API
SW-07,MySQL / PostgreSQL,Software,Database servers for lab,Lab Engineer,Fintech Lab,Internal,Medium,Lab Apps
SW-08,Python/Anaconda,Software,Installed for teaching/labs,Faculty & Students,Fintech Lab,Internal,Medium,Lab OS
